iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,Latitude,Longitude,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,population,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
CUW,North America,Curacao,7/21/24,45883,0,0,305,,,0,247372.1,0,0,1644.37,191173,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.64,41.7,16.37,10.07,,,,11.62,,,,,78.88,,191173,,,,
CYP,Europe,Cyprus,7/21/24,696031,1584,226.29,1451,35.126413	,33.429859	,0,512175.3,1165.59,166.51,1067.72,896007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.66,37.3,13.42,8.56,32415.13,,141.17,9.24,19.6,52.7,,3.4,80.98,0.89,896007,,,,
CZE,Europe,Czechia,7/21/24,4760891,310,44.29,43507,,,0,443743.72,28.89,4.13,4055.11,10493990,0,,0,0,12,1.14,0,0,16,1.52,,,,,,,,,,,,,,,4,,,,,0,0,0,,137.18,43.3,19.03,11.58,32605.91,,227.48,6.82,30.5,38.3,,6.63,79.38,0.9,10493990,,,,
COD,Africa,Democratic Republic of Congo,7/21/24,100933,0,0,1471,,,0,922.01,0,0,13.44,99010216,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.88,17,3.02,1.74,808.13,77.1,318.95,6.1,,,4.47,,60.68,0.48,99010216,,,,
DNK,Europe,Denmark,7/21/24,3435679,0,0,9693,56.26392	    ,9.501785	,0,574644.3,0,0,1621.23,5882259,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.52,42.3,19.68,12.32,46682.52,0.2,114.77,6.41,19.3,18.8,,2.5,80.9,0.94,5882259,,,,
DJI,Africa,Djibouti,7/21/24,15690,0,0,189,11.825138	,42.590275	,0,13415.2,0,0,161.6,1120851,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.28,25.4,4.21,2.38,2705.41,22.5,258.04,6.05,1.7,24.5,,1.4,67.11,0.52,1120851,,,,
DMA,North America,Dominica,7/21/24,16047,0,0,74,15.414999	,-61.370976	,0,242380.95,0,0,1117.73,72758,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.57,,,,9673.37,,227.38,11.62,,,,3.8,75,0.74,72758,,,,
DOM,North America,Dominican Republic,7/21/24,661103,0,0,4384,18.735693	,-70.162651	,0,57825.88,0,0,383.46,11228821,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.87,27.6,6.98,4.42,14600.86,1.6,266.65,8.2,8.5,19.1,55.18,1.6,74.08,0.76,11228821,,,,
TLS,Asia,East Timor,7/21/24,23460,0,0,138,,,0,16737.8,0,0,98.46,1341298,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.18,18,3.56,1.9,6570.1,30.3,335.35,6.86,6.3,78.1,28.18,5.9,69.5,0.61,1341298,,,,
ECU,South America,Ecuador,7/21/24,1077122,157,22.43,36050,-1.831239	,-78.183406	,0,59365.39,8.65,1.24,1986.89,18001002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.94,28.1,7.1,4.46,10581.94,3.6,140.45,5.55,2,12.3,80.64,1.5,77.01,0.76,18001002,,,,
